iv,x,y,boundary_flag,normal_x,normal_y
0,0.8888888888884262,1,1,0,1
1,1,0.8888888888885959,1,1,0
2,1,0.7777777777771916,1,1,0
3,1,0.6666666666657874,1,1,0
4,0.9287755943680654,0.8263815111829502,0,0,0
5,0.9057280826904126,0.9057280826904104,0,0,0
6,0.8267598501085156,0.9286392792343791,0,0,0
7,0.6666666666675918,1,1,0,1
8,0.777777777777932,1,1,0,1
9,0.7286053558865362,0.9046691681823968,0,0,0
10,0.9053507438506432,0.7267136612594657,0,0,0
11,0.8327991452992708,0.8327991452990875,0,0,0
12,0.9198942811178481,0.6104937768306878,0,0,0
13,1,0.5555555555543833,1,1,0
14,0.6106313817769689,0.9252789497361562,0,0,0
15,0.5555555555572513,1,1,0,1
16,0.4444444444462943,1,1,0,1
17,0.1111111111115736,1,1,0,1
18,0.2222222222231471,1,1,0,1
19,0.3333333333347207,1,1,0,1
20,0.3895623842172196,0.9231080133448744,0,0,0
21,0.8018874147910282,0.7245531090800708,0,0,0
22,0.8454773897603067,0.6534203520643341,0,0,0
23,0.8411033374554426,0.5811558292351263,0,0,0
24,0.8997059422058354,0.4999999999988355,0,0,0
25,1,0.4444444444432878,1,1,0
26,0,0.8888888888884262,1,-1,0
27,0.9228639932322571,0.3896054546060729,0,0,0
28,1,0.333333333332501,1,1,0
29,1,0.2222222222217143,1,1,0
30,1,0.1111111111109082,1,1,0
31,0.499991235053065,0.9017868977597824,0,0,0
32,0.5661514691344709,0.8418471694654637,0,0,0
33,0.7209427059839422,0.793108039302815,0,0,0
34,0.6488247665594336,0.8438518532102963,0,0,0
35,0.7083333333334473,0.7083333333332218,0,0,0
36,0.6052062200339373,0.7444416267118174,0,0,0
37,0.8398107193038267,0.4333615433253537,0,0,0
38,0.7592851622156915,0.6267058542536245,0,0,0
39,0.7811539119775317,0.5151591630281498,0,0,0
40,0.4306129583285965,0.8423097688850189,0,0,0
41,0.4998316428699673,0.7913216879273477,0,0,0
42,0.1743438459570318,0.9280858106986669,0,0,0
43,0.2736292714964246,0.9051856784470803,0,0,0
44,0.3489801772252445,0.8443219319353352,0,0,0
45,0.6503837715327468,0.6462686171015513,0,0,0
46,0,0.777777777777932,1,-1,0
47,0.07201749135432586,0.8261030795198345,0,0,0
48,0.09755577025307775,0.9024442297469222,0,0,0
49,0.1672008547009357,0.8327991452993316,0,0,0
50,0.2807900480263731,0.7941225797354223,0,0,0
51,0.3941749152758193,0.7508709989677774,0,0,0
52,0.6889564372944221,0.572011401249231,0,0,0
53,0.8440249877266572,0.3516453832046661,0,0,0
54,0.9046939016847189,0.2714618083654754,0,0,0
55,0.8888888888885959,0,1,0,-1
56,0.6976896022380308,0.4954239801271378,0,0,0
57,0.7461673477269942,0.3953704487829943,0,0,0
58,0.7777777777771916,0,1,0,-1
59,0.92798745534612,0.1739103533303771,0,0,0
60,0.9024442297468482,0.09755577025309141,0,0,0
61,0,0.6666666666675918,1,-1,0
62,0.09533083181761588,0.7286053558865602,0,0,0
63,0.7934286374751205,0.2792429578215526,0,0,0
64,0.8257247405942234,0.07188117622062719,0,0,0
65,0.8327991452990327,0.1672008547006961,0,0,0
66,0.2935493313203346,0.7102890628582479,0,0,0
67,0.7083333333332511,0.2916666666665351,0,0,0
68,0.506294366610863,0.7014609360411954,0,0,0
69,0.5953097620342137,0.5371087909264183,0,0,0
70,0.4284220034506441,0.6618360802770256,0,0,0
71,0.5658068783071103,0.6425264550262563,0,0,0
72,0.6466158769073198,0.3503022099078095,0,0,0
73,0.4865844366382359,0.5906604140204827,0,0,0
74,0.6443332622646906,0.4349613331345463,0,0,0
75,0.3517501212071653,0.6543111983791922,0,0,0
76,0.2072057381394804,0.7212686609047616,0,0,0
77,0.5044411332166832,0.5016354649305584,0,0,0
78,0.07472105026385804,0.6106313817769728,0,0,0
79,0.1561481467897275,0.6488247665594593,0,0,0
80,0,0.5555555555572513,1,-1,0
81,0.2555583732882103,0.6052062200339546,0,0,0
82,0.3632261206161471,0.5732665145164775,0,0,0
83,0.5376600379883707,0.4114124994480977,0,0,0
84,0.6104937768306833,0.0801057188821529,0,0,0
85,0.6267058542536319,0.2407148377843119,0,0,0
86,0.7245531090800689,0.1981125852089491,0,0,0
87,0.7267136612594487,0.09464925614934835,0,0,0
88,0.572011401249241,0.3110435627056031,0,0,0
89,0.6534203520643228,0.1545226102396885,0,0,0
90,0.6666666666657874,0,1,0,-1
91,0.1581528305345516,0.5661514691344833,0,0,0
92,0.09821310224022752,0.4999912350530666,0,0,0
93,0,0.4444444444462943,1,-1,0
94,0.581155829235124,0.1588966625445635,0,0,0
95,0.5151591630281463,0.2188460880224892,0,0,0
96,0.5555555555543833,0,1,0,-1
97,0.4444444444432878,0,1,0,-1
98,0,0.1111111111115736,1,-1,0
99,0,0.2222222222231471,1,-1,0
100,0,0.3333333333347207,1,-1,0
101,0.333333333332501,0,1,0,-1
102,0.2222222222217143,0,1,0,-1
103,0.2990230475128004,0.5067728348132639,0,0,0
104,0.4913006449877825,0.3088215998945988,0,0,0
105,0.4115787114390108,0.4867953014811865,0,0,0
106,0.3380699889869433,0.4286329349817431,0,0,0
107,0.4258129642701761,0.3652932496210999,0,0,0
108,0.2086783120726719,0.4998316428699728,0,0,0
109,0.4354138137148528,0.1595860869643565,0,0,0
110,0.1577003075245204,0.4306123966001784,0,0,0
111,0.3456425215488516,0.3518657990232416,0,0,0
112,0.1739103533303547,0.07201254465388583,0,0,0
113,0.07191418930132219,0.1743438459570595,0,0,0
114,0.3896054546060673,0.07713600676775592,0,0,0
115,0.07689198665512578,0.3895623842172228,0,0,0
116,0.2060223851459481,0.2807244141555666,0,0,0
117,0.2788723838471365,0.2070582553363502,0,0,0
118,0.09755577025306406,0.09755577025314523,0,0,0
119,0.2491995358989333,0.3941709831768506,0,0,0
120,0.394444524791719,0.2551137328108766,0,0,0
121,0.09481432155291152,0.2736292714964413,0,0,0
122,0.2714618083654514,0.0953060983152938,0,0,0
123,0.4999999999988354,0.1002940577941752,0,0,0
124,0.1556780680646606,0.3489801772252542,0,0,0
125,0.3516453832046406,0.1559750122733665,0,0,0
126,0.1672008547006354,0.1672008547009902,0,0,0
127,0.2903691468114113,0.2933069429975136,0,0,0
128,0.1111111111109082,0,1,0,-1
