iv,x,y,boundary_flag,normal_x,normal_y
0,1,0.9655172413792195,1,1,0
1,0.9655172413791667,1,1,0,1
2,1,0.9310344827584388,1,1,0
3,1,0.8965517241376582,1,1,0
4,0.977003613084497,0.9134040760357243,0,0,0
5,0.9682320995494009,0.9438345568471632,0,0,0
6,0.9310344827583336,1,1,0,1
7,0.9747568687044075,0.974756868704422,0,0,0
8,0.9469422367378494,0.970907023985599,0,0,0
9,0.8965517241375003,1,1,0,1
10,0.9134126181192306,0.9702545007698147,0,0,0
11,1,0.8620689655168776,1,1,0
12,0.9307487976483114,0.940422012529027,0,0,0
13,0.9482758620685324,0.9104111651255461,0,0,0
14,0.9699690011043571,0.8796611498377509,0,0,0
15,0.9764607587003844,0.8440943117078772,0,0,0
16,0.9513181491931908,0.8554499760947564,0,0,0
17,1,0.827586206896097,1,1,0
18,0.9292137511498963,0.8797955300703031,0,0,0
19,0.9149013013149077,0.913193821370042,0,0,0
20,0.8985457065204084,0.9424601702855937,0,0,0
21,0.8783610581860275,0.9700717604656323,0,0,0
22,0.8620689655168107,1,1,0,1
23,0.8888990644985264,0.9180166295834215,0,0,0
24,0.839822818287954,0.9669744734319649,0,0,0
25,0.8275862068963603,1,1,0,1
26,0.8678174771823596,0.9394567228493236,0,0,0
27,0.8639976684943487,0.9095747740941658,0,0,0
28,0.8359414729304203,0.930939983673612,0,0,0
29,1,0.7931034482753163,1,1,0
30,1,0.7241379310337551,1,1,0
31,0.9734383294527699,0.8076787433006846,0,0,0
32,0.9714283233481931,0.7413793103441467,0,0,0
33,1,0.7586206896545358,1,1,0
34,0.949139318188248,0.8244478442476382,0,0,0
35,0.9254586218621853,0.843932614309854,0,0,0
36,0.8928152129335392,0.8916254406225325,0,0,0
37,0.8957337549176533,0.8608799912769551,0,0,0
38,0.9455981095859671,0.7904571008996872,0,0,0
39,0.9221972518122313,0.809400869483891,0,0,0
40,0.8956731373539579,0.8275862069000129,0,0,0
41,0.9701370550418372,0.7758620689649262,0,0,0
42,0.8659852991264999,0.8447343284498752,0,0,0
43,0.8654708127574979,0.8783497650021372,0,0,0
44,0.8361624588220896,0.8965517241409702,0,0,0
45,0.8091962085651392,0.9773345168402177,0,0,0
46,0.8071045441740762,0.948308187928816,0,0,0
47,0.8361624588222087,0.8620689655203919,0,0,0
48,0.948021719921787,0.7241379310337631,0,0,0
49,1,0.6896551724129745,1,1,0
50,0.9701370550418371,0.7068965517233651,0,0,0
51,1,0.6551724137921939,1,1,0
52,0.7586206896554596,1,1,0,1
53,0.79310344827591,1,1,0,1
54,0.7760667871494045,0.9693486631683351,0,0,0
55,0.8062511017749033,0.9142512050595114,0,0,0
56,0.776436568906042,0.931034482761333,0,0,0
57,0.7417513922413477,0.9768222148992604,0,0,0
58,0.7241379310350091,1,1,0,1
59,0.8062995138641661,0.8793103448305888,0,0,0
60,0.8062995138642696,0.844827586210001,0,0,0
61,0.7764285002246233,0.8966280744088422,0,0,0
62,0.9711795396799037,0.6723564584272853,0,0,0
63,0.9456026976577174,0.7567327734451026,0,0,0
64,0.9479968412126307,0.6896046632962667,0,0,0
65,0.9249472645676499,0.7066508316881178,0,0,0
66,0.9208704487081217,0.7406716348120691,0,0,0
67,0.9204504104627862,0.7746737597455404,0,0,0
68,0.8945970804317761,0.7931034482793595,0,0,0
69,0.8660254037804127,0.8103448275895824,0,0,0
70,0.8361624588223195,0.8275862068997938,0,0,0
71,0.8660254037804967,0.7758620689689817,0,0,0
72,0.8361624588224315,0.7931034482791808,0,0,0
73,0.8938368745809037,0.7576767315531339,0,0,0
74,0.8948104516645135,0.7229694721832052,0,0,0
75,0.8062995138643669,0.8103448275894066,0,0,0
76,0.7765332366904656,0.8620845772648229,0,0,0
77,0.6896551724145588,1,1,0,1
78,0.7446881596674497,0.9482504186093094,0,0,0
79,0.7470056793344508,0.9138058284956486,0,0,0
80,0.7764365689063195,0.8275862068996087,0,0,0
81,0.8062995138644641,0.7758620689688129,0,0,0
82,0.6206896551736578,1,1,0,1
83,0.925751293697113,0.6724137931076786,0,0,0
84,0.895888348738947,0.6896551724178821,0,0,0
85,0.947599177338292,0.6547516552363818,0,0,0
86,0.9719603935552593,0.6369870763775192,0,0,0
87,1,0.6206896551714133,1,1,0
88,1,0.5862068965506327,1,1,0
89,1,0.5517241379298521,1,1,0
90,0.971428323348245,0.5689655172402536,0,0,0
91,1,0.5172413793090714,1,1,0
92,0.946228063604763,0.6198911615125816,0,0,0
93,0.9712011506446039,0.6023469914051627,0,0,0
94,0.9224789322800828,0.6372567786969601,0,0,0
95,0.5862068965532072,1,1,0,1
96,0.6722007607119931,0.9721167404017057,0,0,0
97,0.7105299332794083,0.9675283755219408,0,0,0
98,0.6551724137941082,1,1,0,1
99,0.7156615238000397,0.9297588943858763,0,0,0
100,0.6385641060196894,0.9725630717205448,0,0,0
101,0.7470776885655679,0.8793251907158499,0,0,0
102,0.716447411942908,0.8952967922628644,0,0,0
103,0.6834131559618539,0.941407235052961,0,0,0
104,0.7466576347178471,0.8448300605240469,0,0,0
105,0.7764365689064194,0.7931034482790252,0,0,0
106,0.7465736239483749,0.8103448275892201,0,0,0
107,0.716710678990238,0.8620689655199792,0,0,0
108,0.8958883487390752,0.6551724137972503,0,0,0
109,0.865683491420989,0.7412219839975378,0,0,0
110,0.8660254037807475,0.7068965517280554,0,0,0
111,0.8660254037809479,0.6724137931075017,0,0,0
112,0.8361624588226073,0.7241379310381528,0,0,0
113,0.8361624588224948,0.758620689658593,0,0,0
114,0.8062995138645279,0.7413793103482731,0,0,0
115,0.7764365689065188,0.7586206896584403,0,0,0
116,0.8660254037810479,0.6379310344868311,0,0,0
117,0.8361624588227703,0.6896551724176675,0,0,0
118,0.80629951386464,0.7068965517277737,0,0,0
119,0.8361624588229326,0.6551724137970826,0,0,0
120,1,0.4827586206883868,1,1,0
121,0.7764365689066142,0.7241379310378728,0,0,0
122,0.7465736239484813,0.7758620689686377,0,0,0
123,0.5172413793123064,1,1,0,1
124,0.5517241379327569,1,1,0,1
125,0.6044919101653009,0.973588085747831,0,0,0
126,0.5709819135701625,0.9725309304598875,0,0,0
127,0.7167106789903388,0.8275862068994153,0,0,0
128,0.6549424463423468,0.9500074299912202,0,0,0
129,0.6236142959023909,0.9435267178956408,0,0,0
130,0.6857973802735273,0.9094103510999051,0,0,0
131,0.6864315206936238,0.8774115233599273,0,0,0
132,0.7167106789904372,0.7931034482788398,0,0,0
133,0.7465736239485858,0.7413793103480428,0,0,0
134,0.5898780292678097,0.9520454183131363,0,0,0
135,0.535738224482333,0.9653710148442862,0,0,0
136,0.4827586206916645,1,1,0,1
137,0.4482758620708314,1,1,0,1
138,0.465291635443795,0.9700788382238773,0,0,0
139,0.4980959621081429,0.969036256880592,0,0,0
140,0.4137931034499982,1,1,0,1
141,0.9205393538310386,0.6025329808504325,0,0,0
142,0.8937456430672382,0.6204199528606027,0,0,0
143,0.9457800469249624,0.5841354329321421,0,0,0
144,0.9708619675103174,0.5344827586194892,0,0,0
145,0.9480217199220207,0.5517241379298561,0,0,0
146,0.920951351143284,0.5682316206502139,0,0,0
147,0.8660254037811475,0.6034482758661638,0,0,0
148,0.9701370550419616,0.4999999999987291,0,0,0
149,1,0.4482758620677977,1,1,0
150,0.947944174371925,0.5172413793090462,0,0,0
151,0.9249472645682303,0.5342370385844868,0,0,0
152,1,0.4137931034472087,1,1,0
153,0.9701370550419617,0.4655172413781158,0,0,0
154,0.9479441743721155,0.4827586206884221,0,0,0
155,0.9257512936974965,0.5000000000043828,0,0,0
156,0.8940520859659011,0.5852629384500958,0,0,0
157,0.8660254037812429,0.5689655172455055,0,0,0
158,0.5638225158958404,0.9420864853702581,0,0,0
159,0.6253156388524745,0.9094849380410422,0,0,0
160,0.5938217762345587,0.926935734108695,0,0,0
161,0.6569199131158061,0.9204233848852479,0,0,0
162,0.5968941654981087,0.8965421692191502,0,0,0
163,0.65391968237725,0.8912428036105936,0,0,0
164,0.686632932759714,0.8444555394919369,0,0,0
165,0.6562173697714173,0.8607397562965176,0,0,0
166,0.686847734032408,0.8103448275890451,0,0,0
167,0.716710678990532,0.7586206896582534,0,0,0
168,0.6868477340324963,0.7758620689684623,0,0,0
169,0.6569489888622878,0.8275241991129676,0,0,0
170,0.8361624588230354,0.6206896551764118,0,0,0
171,0.8062995138648074,0.6724137931072454,0,0,0
172,0.8062995138649212,0.6379310344866584,0,0,0
173,0.7764365689067262,0.6896551724173337,0,0,0
174,0.7465736239486787,0.7068965517274486,0,0,0
175,0.7167106789906288,0.724137931037654,0,0,0
176,0.8361624588231457,0.5862068965557443,0,0,0
177,0.8062995138650516,0.6034482758659822,0,0,0
178,0.7764365689068561,0.6551724137967694,0,0,0
179,0.7465736239487639,0.6724137931068862,0,0,0
180,0.7764365689069477,0.6206896551761755,0,0,0
181,1,0.3793103448266197,1,1,0
182,1,0.3448275862060307,1,1,0
183,0.9701370550420031,0.4310344827575031,0,0,0
184,0.9701370550420031,0.3965517241369143,0,0,0
185,0.9479441743721843,0.4482758620677825,0,0,0
186,0.925751293697882,0.4655172413837649,0,0,0
