iv,x,y,boundary_flag,normal_x,normal_y
0,0.9473684210524125,1,1,0,1
1,1,0.9473684210524927,1,1,0
2,0.9682929838920153,0.9682929838920471,0,0,0
3,1,0.8947368421049855,1,1,0
4,0.8947368421048248,1,1,0,1
5,0.9614681291440529,0.9064847228565531,0,0,0
6,0.9064847228565788,0.9614681291440974,0,0,0
7,0.9414306291879295,0.9414306291879204,0,0,0
8,0.8668597262096702,0.9480680419120384,0,0,0
9,0.9484162944447071,0.8683747847197186,0,0,0
10,1,0.8421052631574782,1,1,0
11,1,0.789473684209971,1,1,0
12,0.9097980915560512,0.908309205869007,0,0,0
13,0.9640309758661261,0.8157894736837248,0,0,0
14,1,0.7368421052624637,1,1,0
15,0.8421052631576025,1,1,0,1
16,0.9195289352115664,0.8182101864609902,0,0,0
17,0.7894736842105994,1,1,0,1
18,0.8159750208952941,0.9623754153289031,0,0,0
19,0.7368421052635962,1,1,0,1
20,0.8177491482009097,0.9182920658789115,0,0,0
21,0.8907130350054622,0.8539617875855479,0,0,0
22,0.8521861634630541,0.8799645172130984,0,0,0
23,0.7640583771200751,0.9422058477792015,0,0,0
24,0.8772872503819112,0.8101711394052068,0,0,0
25,0.8139807419899283,0.8665673221492984,0,0,0
26,0.7779355117685083,0.8854238268038187,0,0,0
27,0.6842105263165927,1,1,0,1
28,1,0.6842105263149566,1,1,0
29,0.9036662899003742,0.7786777820140779,0,0,0
30,0.9461738580114676,0.7042586998693161,0,0,0
31,0.9460551417178755,0.7631578947362172,0,0,0
32,0.8288634226835619,0.8288634226835722,0,0,0
33,0.8905508083378078,0.7379620301807962,0,0,0
34,0.9651088437066221,0.6571960771453148,0,0,0
35,1,0.6315789473674494,1,1,0
36,1,0.5789473684199421,1,1,0
37,0.8983451174545043,0.6906097324804403,0,0,0
38,0.9226287804350185,0.6553768938646427,0,0,0
39,0.7155573489299661,0.9584661622587375,0,0,0
40,0.8400246194578204,0.7710685960145274,0,0,0
41,0.7829217389479191,0.8373957949386677,0,0,0
42,0.714222696824794,0.9194140190296836,0,0,0
43,0.7340288594222402,0.8899104252198995,0,0,0
44,0.9491760919562755,0.6072017517699454,0,0,0
45,0.957681486176212,0.5543682027420211,0,0,0
46,1,0.5263157894724348,1,1,0
47,1,0.4736842105250738,1,1,0
48,1,0.421052631577859,1,1,0
49,0.6315789473695894,1,1,0,1
50,0.6406866733376739,0.96077122840704,0,0,0
51,0.6766914410913714,0.9300706829791374,0,0,0
52,0.5789473684225861,1,1,0,1
53,0.7421351939801947,0.8520619430239091,0,0,0
54,0.835861445438423,0.7309778569266009,0,0,0
55,0.7943111401280063,0.7963877443809052,0,0,0
56,0.6807774575603167,0.8764169769114419,0,0,0
57,0.7009656575693468,0.8433850030108293,0,0,0
58,0.7870224028387318,0.7559891179576728,0,0,0
59,0.7399873500674305,0.7963659511586173,0,0,0
60,0.6006136723659689,0.9636664769810533,0,0,0
61,0.5263157894755828,1,1,0,1
62,0.6094358451477888,0.9224246609292375,0,0,0
63,0.883512951941827,0.6560072663690022,0,0,0
64,0.8954078531128968,0.6164877901318879,0,0,0
65,0.8509548464104894,0.6919298133094582,0,0,0
66,0.7976345348619021,0.7137684129854336,0,0,0
67,0.8460600577063239,0.6399220026583258,0,0,0
68,0.9401786161892838,0.5055814445583766,0,0,0
69,0.9055149052756694,0.5598068700371654,0,0,0
70,0.8024114429713777,0.6627550502977211,0,0,0
71,0.856440296778236,0.5888617043323745,0,0,0
72,0.6385622354594558,0.8890611231832151,0,0,0
73,0.5540442271416257,0.9452343846643804,0,0,0
74,0.4736842105282874,1,1,0,1
75,0.4210526315806998,1,1,0,1
76,0.6374020386109327,0.8464990307874269,0,0,0
77,0.7488768408591656,0.7349943660225808,0,0,0
78,0.6973396720871855,0.7986946295943078,0,0,0
79,0.6687395445908566,0.8211150210119756,0,0,0
80,0.6680496521631413,0.7806765504268485,0,0,0
81,0.8613304172887692,0.5430691257123113,0,0,0
82,0.9452343846643416,0.4459557728584562,0,0,0
83,0.889353954703098,0.5145918522936556,0,0,0
84,0.8892336441916204,0.4656585019962121,0,0,0
85,0.9066967385235148,0.4284185087050159,0,0,0
86,1,0.3684210526306442,1,1,0
87,0.9636664769810921,0.3993863276341675,0,0,0
88,1,0.3157894736834294,1,1,0
89,0.9607712284070572,0.3593133266623888,0,0,0
90,0.92242466092925,0.3905641548522413,0,0,0
91,0.5715814912950157,0.9066967385235046,0,0,0
92,0.588504394886869,0.8698942643088312,0,0,0
93,0.4944185554417932,0.9401786161892218,0,0,0
94,0.700275031897125,0.7530947664004761,0,0,0
95,0.7532442505127575,0.6840215705939068,0,0,0
96,0.6035643826153918,0.8325068869694319,0,0,0
97,0.6455961412078169,0.7518009375249215,0,0,0
98,0.6203246357188549,0.7957529636603506,0,0,0
99,0.7074422889538983,0.7057350833784026,0,0,0
100,0.5343414980037797,0.8892336441915696,0,0,0
101,0.4456317972582893,0.9576814861761995,0,0,0
102,0.5396553366729496,0.8443126628925519,0,0,0
103,0.3927982482303595,0.9491760919563219,0,0,0
104,0.3157894736855248,1,1,0,1
105,0.3684210526331123,1,1,0,1
106,0.3428039228551368,0.9651088437066728,0,0,0
107,0.8698942643088479,0.4114956051131541,0,0,0
108,0.807500196791775,0.612480611132681,0,0,0
109,0.8234891251149499,0.5635136417287037,0,0,0
110,0.7749935458271532,0.5842689624058184,0,0,0
111,0.7590747715450186,0.6344078911065218,0,0,0
112,0.8452950591966051,0.4611726993734719,0,0,0
113,0.8376157592667333,0.506969150517193,0,0,0
114,0.678377653067556,0.6795697747915368,0,0,0
115,0.7006702287918797,0.6447192579093866,0,0,0
116,0.7861363429382022,0.5420712774677197,0,0,0
117,0.7270982088548832,0.5930113675136912,0,0,0
118,0.7466626297180905,0.5601289854855929,0,0,0
119,0.2957413001310038,0.946173858011536,0,0,0
120,0.2631578947379374,1,1,0,1
121,0.21052631579035,1,1,0,1
122,0.1052631578951749,1,1,0,1
123,0.34462310613561,0.922628780435134,0,0,0
124,0.5680264612449104,0.8178812891211183,0,0,0
125,0.4858315722520766,0.8903081499397845,0,0,0
126,0.4576142544151919,0.8575422198472401,0,0,0
127,0.4401931299628614,0.9055149052756342,0,0,0
128,0.3835122098682012,0.895407853112923,0,0,0
129,0.5768609719973021,0.7775855490690703,0,0,0
130,0.6572237354650317,0.710598720450073,0,0,0
131,0.6044208510186465,0.7429910301823068,0,0,0
132,0.1842105263165562,0.964030975866101,0,0,0
133,0.2368421052641437,0.9460551417179606,0,0,0
134,0.1578947368427625,1,1,0,1
135,0.8015878634214301,0.4674089072433677,0,0,0
136,0.7813379936398347,0.4999999999999152,0,0,0
137,0.9300706829791392,0.3233085589086264,0,0,0
138,0.8324766334269703,0.3965483902777099,0,0,0
139,0.8890407714797828,0.3614389474644862,0,0,0
140,0.8178812891211574,0.4319735387550919,0,0,0
141,0.8464799178076106,0.3626000723966489,0,0,0
142,0.9584661622587296,0.2844426510699766,0,0,0
143,1,0.2631578947362146,1,1,0
144,1,0.2105263157889999,1,1,0
145,0.9193974899222113,0.2857780638975727,0,0,0
146,1,0.1578947368417851,1,1,0
