iv,x,y,boundary_flag,normal_x,normal_y
0,0.9743589743588676,1,1,0,1
1,1,0.9743589743589067,1,1,0
2,0.9792216004859475,0.9783383545335421,0,0,0
3,1,0.9487179487178135,1,1,0
4,0.9808402866158414,0.9531028943259798,0,0,0
5,0.9487179487177352,1,1,0,1
6,0.9531028943259897,0.9808402866158458,0,0,0
7,0.9670274476149864,0.9617279719005204,0,0,0
8,1,0.9230769230767202,1,1,0
9,1,0.8974358974356268,1,1,0
10,1,0.8717948717945336,1,1,0
11,1,0.8461538461534404,1,1,0
12,0.9230769230766028,1,1,0,1
13,0.9110287987106263,0.9799966611807163,0,0,0
14,0.9320199284414707,0.974959452694093,0,0,0
15,0.9484330737961192,0.9574861517582716,0,0,0
16,0.971758587368554,0.9356717410729244,0,0,0
17,0.9794421358719971,0.9119511995062232,0,0,0
18,0.9419466008360837,0.9377359765732026,0,0,0
19,0.9822967443620485,0.892574650737368,0,0,0
20,0.9584472711225557,0.9204972199135169,0,0,0
21,0.9606202058958174,0.9037796642902278,0,0,0
22,0.8974358974354704,1,1,0,1
23,0.8921574340491131,0.982647543101417,0,0,0
24,0.8717948717943863,1,1,0,1
25,0.9247429841896307,0.9539814816930434,0,0,0
26,0.9011885825698966,0.9599304188205433,0,0,0
27,0.9384688256403254,0.9133475181250057,0,0,0
28,0.9593224178538313,0.8637120162901974,0,0,0
29,0.950216290842681,0.8861964153333022,0,0,0
30,0.9801540836370279,0.8595975136338651,0,0,0
31,0.9714213800424281,0.8779116206602284,0,0,0
32,1,0.8205128205123471,1,1,0
33,1,0.7948717948712537,1,1,0
34,0.9773005311930346,0.8207541061388914,0,0,0
35,0.9477828411723984,0.8491026495190364,0,0,0
36,0.9670077357101885,0.8415280321042253,0,0,0
37,0.9786736454683366,0.7990502106988283,0,0,0
38,0.8461538461535258,1,1,0,1
39,0.8586089776330931,0.9796597760528172,0,0,0
40,0.8769480644509603,0.9672484057322507,0,0,0
41,0.8205128205126782,1,1,0,1
42,0.8898761076673216,0.9413107124292921,0,0,0
43,0.9119131718252707,0.9291238093079737,0,0,0
44,0.9170740183186797,0.9093307645092138,0,0,0
45,0.9308205626897929,0.8925799806356985,0,0,0
46,0.9393521757182639,0.8679358664905286,0,0,0
47,0.7948717948718305,1,1,0,1
48,0.8207541061392092,0.9773005311930937,0,0,0
49,0.8017598946762383,0.9802800396823754,0,0,0
50,0.7692307692309828,1,1,0,1
51,0.8591732888825554,0.961996375401155,0,0,0
52,0.8667114683204167,0.9439192597155929,0,0,0
53,0.8407233764041568,0.9665045899208049,0,0,0
54,0.8788465032012018,0.9217062051178286,0,0,0
55,0.8954253503927616,0.9020520872857253,0,0,0
56,0.959142450188184,0.8063559763035297,0,0,0
57,0.855835583848553,0.927671975713247,0,0,0
58,0.9431829867372219,0.8292489813952097,0,0,0
59,0.9121189802048777,0.8737977638557433,0,0,0
60,0.9270300052637941,0.8462011701483205,0,0,0
61,1,0.7692307692301605,1,1,0
