iv,x,y,z,boundary_flag,normal_x,normal_y,normal_z
0,0.9812294664725095,1,0.98122946647252,1,0,1,0
1,0.9812294664725095,0.98122946647252,1,1,0,0,1
2,1,0.9812294664725431,0.9812294664725431,1,1,0,0
3,1,0.9605467914200718,0.9783667614251499,1,1,0,0
4,0.9825774116495962,0.9355579640329321,1,1,0,0,1
5,1,0.9357075988227016,0.9779050967994101,1,1,0,0
6,1,0.9102564102556121,0.9777942204156697,1,1,0,0
7,1,0.8589743589331418,0.9777942204020811,1,1,0,0
8,1,0.8846153843717577,0.9777942203338927,1,1,0,0
9,1,0.9828237697151755,0.9358974358968627,1,1,0,0
10,0.9605467914204762,1,0.9783667614251688,1,0,1,0
11,0.9616314574584337,0.9782398001932008,1,1,0,0,1
12,1,0.9763870122193381,0.9582334866061235,1,1,0,0
13,0.9769916123359896,0.9591918017613474,1,1,0,0,1
14,0.9828761498102812,1,0.9356061083194248,1,0,1,0
15,0.976369658272441,1,0.9582214673816393,1,0,1,0
16,0.9812294664725235,0.01877053352744519,1,1,0,0,1
17,0.9812294664725431,0,0.9812294664725431,1,0,-1,0
18,1,0.01877053352744507,0.9812294664725234,1,1,0,0
19,0.9825737921399162,0.06443135317300923,1,1,0,0,1
20,1,0.021633238574795,0.9605467914205287,1,1,0,0
21,1,0.0417571387028389,0.976391482145195,1,1,0,0
22,1,0.06410256410267867,0.9828237697157736,1,1,0,0
23,1,0.114166182541842,0.9833032343425896,1,1,0,0
24,1,0.08950764105078679,0.977216845622597,1,1,0,0
25,0.9823016752534053,0.1151621297402892,1,1,0,0,1
26,0.9769893963101779,0.04080165775310662,1,1,0,0,1
27,0.9616314574586988,0.02176019980700197,1,1,0,0,1
28,1,0.06661733875277702,0.9615384615382976,1,1,0,0
29,0.9788656337314229,0.1399132127996872,1,1,0,0,1
30,1,0.1375319523972373,0.97618622110036,1,1,0,0
31,1,0.1666666666663207,0.977794220415936,1,1,0,0
32,0.9756604202322779,0.05587414944168713,0.9757186420639506,0,0,0,0
33,0.9565545341140747,0.06448916557474246,1,1,0,0,1
34,0.9777942204158236,0.08974358974341959,1,1,0,0,1
35,0.951536532628681,0.08979881852879819,1,1,0,0,1
36,0.9548485221197801,0.1153846153895334,1,1,0,0,1
37,0.9548485221197043,0.1410256410305373,1,1,0,0,1
38,0.9777942204158484,0.1666666666663209,1,1,0,0,1
39,0.9820873925902204,0.1923076923083461,1,1,0,0,1
40,1,0.04425321903925161,0.9486018858692425,1,1,0,0
41,1,0.0663511664051263,0.9363855536689087,1,1,0,0
42,0.9788440303977695,0,0.9606299757570151,1,0,-1,0
43,1,0.02211035608268523,0.9357321575442947,1,1,0,0
44,0.956456315769558,0,0.9489753694339728,1,0,-1,0
45,0.9591839584855915,0,0.9767769936550051,1,0,-1,0
46,0.9526884249368911,0.04080390699309232,1,1,0,0,1
47,0.9348887825809271,0.02544714022942689,1,1,0,0,1
48,0.933377954220577,0.05152137160118365,1,1,0,0,1
49,0.978059858390453,0,0.9357307747955108,1,0,-1,0
50,0.9777942204156949,0,0.910256410255629,1,0,-1,0
51,1,0.04439565525159268,0.9230493766845629,1,1,0,0
52,1,0.02220577958426686,0.9102564102561798,1,1,0,0
53,0.9688642346298181,0.9687435032009574,0.9685177451921122,0,0,0,0
54,0.9777942204157251,0.9102564102561737,1,1,0,0,1
55,0.9526646222107508,0.9590731036334781,1,1,0,0,1
56,0.9565726316626331,0.9354574204561265,1,1,0,0,1
57,1,0.8333333333327222,0.9777942204156825,1,1,0,0
58,1,0.5512820512808416,0.9777942204157493,1,1,0,0
59,0.9347831398388959,0.9747307070957106,1,1,0,0,1
60,0.9333442697578016,0.9477457886610055,1,1,0,0,1
61,1,0.9230416375936912,0.9556192155488981,1,1,0,0
62,1,0.8974358959778053,0.9555884403405248,1,1,0,0
63,1,0.9485705963903359,0.9556811581244928,1,1,0,0
64,1,0.9615384615372411,0.9333826612470972,1,1,0,0
65,0.951578282277141,0.9101935509103761,1,1,0,0,1
66,0.9352761262685576,1,0.9772731757342786,1,0,1,0
67,0.9124784095241256,0.9579117988292575,1,1,0,0,1
68,0.9109218156291953,0.9825405443682391,1,1,0,0,1
69,0.8855842039039682,0.9771764075565457,1,1,0,0,1
70,0.9783856050234137,0.8066679995044789,1,1,0,0,1
71,1,0.7051282051270692,0.977794220415932,1,1,0,0
72,1,0.7307692307683162,0.9777942204158143,1,1,0,0
73,0.9780762032734527,0.7051282051274287,1,1,0,0,1
74,0.9780762032734422,0.7564102564096192,1,1,0,0,1
75,0.9780359200080531,0.7307692307685238,1,1,0,0,1
76,1,0.7564102564094946,0.9777942204157508,1,1,0,0
77,1,0.8076923076916019,0.9777942204156944,1,1,0,0
78,1,0.7948717943183254,0.9555884406453985,1,1,0,0
79,1,0.7820512820507067,0.9777942204157252,1,1,0,0
80,0.9555884408314683,0.7692307692301817,1,1,0,0,1
81,0.9777942204157324,0.78205128205071,1,1,0,0,1
82,0.9459025167631631,0.951360059551437,0.9757992118374268,0,0,0,0
83,0.9710378293809248,0.932020078733336,0.9652586347263079,0,0,0,0
84,1,0.9360049920546235,0.9333664239966067,1,1,0,0
85,0.9593975645466902,0.815403928310414,1,1,0,0,1
86,0.9823016752526693,0.858751873329693,1,1,0,0,1
87,0.9788656337302195,0.8835029563893163,1,1,0,0,1
88,0.9548485221173253,0.8846153846193244,1,1,0,0,1
89,0.9777942204157251,0.8333333333328938,1,1,0,0,1
90,1,0.8461538421086883,0.9555884394688562,1,1,0,0
91,1,0.8205128205116681,0.955588440831407,1,1,0,0
92,0.9774735792872558,0.8974358973372919,0.970392293616781,0,0,0,0
93,1,0.8717948717934825,0.955588440831576,1,1,0,0
94,0.9548485221174019,0.8589743589782806,1,1,0,0,1
95,0.977063108252947,0.9166135986689755,0.944525066167904,0,0,0,0
96,0.9738491795316743,0.9422517914377101,0.9397444206414839,0,0,0,0
97,1,0.9493632883957421,0.9110794590791333,1,1,0,0
98,1,0.9772017937110906,0.910592347079741,1,1,0,0
99,0.9615384615382759,1,0.9333826612471201,1,0,1,0
100,0.9484491187599871,1,0.9555970235527533,1,0,1,0
101,0.9249881487441165,1,0.9531729243153413,1,0,1,0
102,0.9075202226022092,1,0.9740954113176685,1,0,1,0
103,0.9439715107476886,0.9252614079768124,0.9733442437031951,0,0,0,0
104,0.9323932100836748,0.8974358974397202,1,1,0,0,1
105,0.9326427425329977,0.9230769230807261,1,1,0,0,1
106,0.9524373736581213,0.8338997881099436,1,1,0,0,1
107,0.9561836128069883,0.9054699799072321,0.9559429148591685,0,0,0,0
108,0.9326024592677654,0.8717948717987181,1,1,0,0,1
109,0.9772168456225253,1,0.9104923589488887,1,0,1,0
110,0.9666996487555295,0.9666996487553949,0.926072803078538,0,0,0,0
111,0.9502975765063528,1,0.9102402294625427,1,0,1,0
112,0.9380156930220349,1,0.9318931590899524,1,0,1,0
113,0.8828917929430338,1,0.9785865488183362,1,0,1,0
114,0.858974358973955,0.9822596588806399,1,1,0,0,1
115,0.8880816220160757,0.9481291958792075,1,1,0,0,1
116,0.8651469694479161,0.9597749787474898,1,1,0,0,1
117,0.9108873537669333,0.9351173361207454,1,1,0,0,1
118,0.9055095080858253,1,0.9494662836336553,1,0,1,0
119,0.9759653485811134,0.8205128205121587,0.9703922938876003,0,0,0,0
120,0.954560507231667,0.7943574447267507,1,1,0,0,1
121,0.9659606154366742,0.8562578672504223,0.9645587321833942,0,0,0,0
122,1,0.9102743320610683,0.9333799536166848,1,1,0,0
123,1,0.8846153758729415,0.9333826583020591,1,1,0,0
124,1,0.9358974358960461,0.888971102078611,1,1,0,0
125,1,0.9230769203472926,0.9111768807436489,1,1,0,0
126,1,0.8333333172399489,0.9333826558251197,1,1,0,0
127,0.9701076090968881,0.8796983711172321,0.943340140332884,0,0,0,0
128,1,0.8589743508411662,0.9333826585072713,1,1,0,0
129,1,0.8974358850380916,0.9111768774861222,1,1,0,0
130,1,0.807692307690726,0.9333826612474463,1,1,0,0
131,0.9734117630130524,0.8461538336072948,0.9375245953719057,0,0,0,0
132,0.9834256970135353,1,0.8853122488113115,1,0,1,0
133,1,0.9827870607117669,0.8863018455427627,1,1,0,0
134,1,0.9753163707738386,0.8635479764891064,1,1,0,0
135,1,0.9614171390739052,0.8881381349148062,1,1,0,0
136,0.97383829039745,0.8985015156490166,0.9223135132448361,0,0,0,0
137,1,0.91025640628176,0.888971100739939,1,1,0,0
138,1,0.8846153502854459,0.8889710905120698,1,1,0,0
139,1,0.8461537573677504,0.911176851747805,1,1,0,0
140,1,0.8717948317435522,0.9111768681685906,1,1,0,0
141,1,0.9484501346715442,0.8669229522109203,1,1,0,0
142,1,0.9579343173467472,0.8461409169149563,1,1,0,0
