iv,x,y,z,boundary_flag,normal_x,normal_y,normal_z
0,0.974756868704455,0,0.974756868704455,1,0,-1,0
1,1,0.02524313129552977,0.9747568687044282,1,1,0,0
2,0.9747568687044281,0.02524313129552971,1,1,0,0,1
3,1,0.08659765426358076,0.9769721340861492,1,1,0,0
4,1,0.05616518404725146,0.9682358665599701,1,1,0,0
5,1,0.02909297601437869,0.9469422367379516,1,1,0,0
6,0.966968529494445,0,0.945306380410981,1,0,-1,0
7,0.9471215207727901,0,0.9720171370907723,1,0,-1,0
8,0.9726445262310135,0.0519451357790392,1,1,0,0,1
9,0.972497849872388,0.08606425128818002,1,1,0,0,1
10,0.9482758620688295,0.02986294495816285,1,1,0,0,1
11,1,0.974756868704455,0.974756868704455,1,1,0,0
12,1,0.9137931034475443,0.9769009316861511,1,1,0,0
13,0.9747568687044064,0.974756868704421,1,1,0,0,1
14,0.9786655022004349,0.9137931034480479,1,1,0,0,1
15,0.9749324391532009,1,0.9749324391532158,1,0,1,0
16,1,0.120372344861383,0.9693605854924755,1,1,0,0
17,0.9508035164014976,0.1021419812903466,1,1,0,0,1
18,1,0.1551724137927912,0.9774978401616413,1,1,0,0
19,0.9724276213305512,0.1200561204014162,1,1,0,0,1
20,1,0.9438317605665155,0.9682411586417471,1,1,0,0
21,1,0.9709070239855262,0.9469422367375425,1,1,0,0
22,0.9137931034480681,0.02986294495815326,1,1,0,0,1
23,0.9683027508745639,0.158179843240945,1,1,0,0,1
24,1,0.2586206896545583,0.9767506789439617,1,1,0,0
25,0.9783551466763971,0.1896551724133802,1,1,0,0,1
26,0.9693486631673889,0.2239332128494964,1,1,0,0,1
27,1,0.0895888348743744,0.9482758620687802,1,1,0,0
28,0.9403365767404357,0.06705221127049824,1,1,0,0,1
29,1,0.1192217298070149,0.9331730368104527,1,1,0,0
30,0.9503316506405473,0.1912620542231925,1,1,0,0,1
31,0.9660749047542719,0.1396108795596309,0.965566618202194,0,0,0,0
32,1,0.2025308146601171,0.9448870883341892,1,1,0,0
33,1,0.1872255147285464,0.9689022458993091,1,1,0,0
34,1,0.1799458419252169,0.9325304127489997,1,1,0,0
35,1,0.1524362152328518,0.949591753589858,1,1,0,0
36,1,0.2251160023689977,0.9675744845204141,1,1,0,0
37,0.9434669221738101,0.1306626487111894,1,1,0,0,1
38,0.9238195804369593,0.100604460837089,1,1,0,0,1
39,0.9338227841960507,0.1618109022051514,1,1,0,0,1
40,0.9120029169327761,0.1315550645685682,1,1,0,0,1
41,0.8976559486976569,0.1619501663929468,1,1,0,0,1
42,0.8926937155123793,0.09961758008243839,1,1,0,0,1
43,0.860039588820676,0.1009664051101543,1,1,0,0,1
44,0.913793103448048,0,0.9701370550418366,1,0,-1,0
45,0.8740943188224571,0.06139817648270604,1,1,0,0,1
46,0.9041075350238743,0.06596484863447655,1,1,0,0,1
47,0.8793103448272678,0.0298629449581628,1,1,0,0,1
48,0.930658898852135,0,0.9419025183873612,1,0,-1,0
49,0.9440021519583541,0.04491286691258531,0.9541653055285451,0,0,0,0
50,0.9147776368913267,0.1163148306737375,0.9607796684087377,0,0,0,0
51,0.9483805070129613,0.09168531238126416,0.9542656712936504,0,0,0,0
52,1,0.1445972096049111,0.9144875118298109,1,1,0,0
53,1,0.08901888771081724,0.9146938422141329,1,1,0,0
54,0.9462664070488307,0,0.9206555199607468,1,0,-1,0
55,0.9706076836114645,0,0.9115683627054583,1,0,-1,0
56,1,0.05903956353257511,0.8975655408833498,1,1,0,0
57,1,0.05957617373275972,0.9307751667218671,1,1,0,0
58,1,0.02973461680085129,0.9135708325595671,1,1,0,0
59,1,0.02660470337208484,0.8474698807424415,1,1,0,0
60,0.9701370550418372,0,0.8793103448272678,1,0,-1,0
61,1,0.05639950642453627,0.8661218069713542,1,1,0,0
62,1,0.0298629449581628,0.8793103448272678,1,1,0,0
63,1,0.1687402337465427,0.8956401761440556,1,1,0,0
64,0.9637754854248488,0.08044758955261777,0.9215615917684965,0,0,0,0
65,1,0.1154201644285241,0.9041978034716348,1,1,0,0
66,1,0.1327720922061644,0.878384490902014,1,1,0,0
67,1,0.09149090281371279,0.8802501356017634,1,1,0,0
68,0.9734211610246228,0,0.8474972401642977,1,0,-1,0
69,1,0.77760831940902,0.9700817737584992,1,1,0,0
70,0.9701370550418372,0.7758620689649262,1,1,0,0,1
71,1,0.6724354523343781,0.9705382640283073,1,1,0,0
72,1,0.6379310344817988,0.9701370550418474,1,1,0,0
73,0.9767506789458247,0.2586206896545583,1,1,0,0,1
74,1,0.3275862068957361,0.9701370550420031,1,1,0,0
75,1,0.2885767941501546,0.9672266967907857,1,1,0,0
76,0.967226696792023,0.2885767941510926,1,1,0,0,1
77,1,0.3611517530188511,0.9691394004418973,1,1,0,0
78,0.9701370550420025,0.3275862068957361,1,1,0,0,1
79,0.9770035562178375,0.6724137931025844,1,1,0,0,1
80,0.9763534862006278,0.8470294352993337,1,1,0,0,1
81,0.969389686964461,0.8800479299100195,1,1,0,0,1
82,0.9692438396363974,1,0.9473262989536257,1,0,1,0
83,0.9481172383477967,1,0.9735482551057225,1,0,1,0
84,0.9692783040918752,0.9441575469292749,1,1,0,0,1
85,0.9482758620687504,0.9701370550417916,1,1,0,0,1
86,0.9508147897519323,0.9112170374666746,1,1,0,0,1
87,0.9665666692610455,0.8169671638158666,1,1,0,0,1
88,0.9326556920016535,0.8813087830471745,1,1,0,0,1
89,0.9476893048314856,0.8501604044956876,1,1,0,0,1
90,1,0.8473222470460955,0.9766349047016012,1,1,0,0
91,1,0.879901874004818,0.9690910391479932,1,1,0,0
92,1,0.9104111651253086,0.9482758620677241,1,1,0,0
93,0.9664550396178953,0.8621437291354294,0.9665217018426446,0,0,0,0
94,1,0.7933150302889439,0.9436496426167205,1,1,0,0
95,1,0.8171915154413023,0.9666348497867157,1,1,0,0
96,1,0.8506852752089992,0.94827586206759,1,1,0,0
97,0.9756291772192486,1,0.9137931034480481,1,0,1,0
98,1,0.9702867712792879,0.9135337873155609,1,1,0,0
99,1,0.9404024385651174,0.9308122112963579,1,1,0,0
100,1,0.8211766824309257,0.9304320892234039,1,1,0,0
101,1,0.8804404996488989,0.9316301089340598,1,1,0,0
102,0.9436086750082975,0.7931350289859599,1,1,0,0,1
103,0.9302951960192634,0.8212491576505856,1,1,0,0,1
104,0.9137862216051146,1,0.9709505758248276,1,0,1,0
105,0.9325996390754121,0.9412469971524637,1,1,0,0,1
106,0.9146603583829673,0.9699614178624311,1,1,0,0,1
107,0.9160167960195185,0.9117348155305294,1,1,0,0,1
108,0.8965517241374296,0.9402741100840808,1,1,0,0,1
109,0.9668279675759116,0.8078673815589406,0.9294028895270096,0,0,0,0
110,1,0.8506673253071272,0.9138923682641541,1,1,0,0
111,1,0.910411167071337,0.9137931000105116,1,1,0,0
112,1,0.8805482412738558,0.8965516868637236,1,1,0,0
113,0.9471322285585181,0.8264518355383713,0.9593286229853064,0,0,0,0
114,0.9426469682679778,0.9064164575585169,0.9560446123264099,0,0,0,0
115,0.8792789588886019,0.8509769109652183,1,1,0,0,1
116,0.8968738719192354,0.881290263709585,1,1,0,0,1
117,0.9136779309127544,0.8513838428633917,1,1,0,0,1
118,0.8964485677142303,0.8208818876415412,1,1,0,0,1
119,0.8790820330804787,0.9110391248219102,1,1,0,0,1
