iv,x,y,z,boundary_flag,normal_x,normal_y,normal_z
0,0.9161434214096766,0,0.9161434214096766,1,0,-1,0
1,0.9161434214093718,0.08385657859050674,1,1,0,0,1
2,1,0.9161434214096456,0.9161434214096456,1,1,0,0
3,1,0.08133897861904563,0.9186610213808216,1,1,0,0
4,1,0.1657345779131953,0.9076715713806722,1,1,0,0
5,0.8986077697523145,0.1636359937338277,1,1,0,0,1
6,1,0.2681415939211296,0.9004115416714573,1,1,0,0
7,1,0.09406076390296814,0.8341088946156944,1,1,0,0
8,0.8250171002154165,0.08964454350473237,1,1,0,0,1
9,0.7180205897491626,0.09722599833409298,1,1,0,0,1
10,1,0.2022189565159739,0.7946499393350207,1,1,0,0
11,1,0.1924500897300702,0.6666666666654616,1,1,0,0
12,1,0.09622504486513936,0.7222222222214377,1,1,0,0
13,0.8250171002159313,0,0.9103554564950525,1,0,-1,0
14,0.8986077697527495,0,0.8363640062656574,1,0,-1,0
15,0.7720628965743317,0,0.7987666323161007,1,0,-1,0
16,0.8873393431734304,0,0.7228832451602998,1,0,-1,0
17,0.7180205897495396,0,0.9027740016660136,1,0,-1,0
18,1,0.09622504486497892,0.6111111111100755,1,1,0,0
19,0.6109959703965366,0,0.906248837770429,1,0,-1,0
20,1,0.1924500897297403,0.5555555555543163,1,1,0,0
21,0.7561239258713947,0.1142516536620834,0.8857483463380457,0,0,0,0
22,0.8535293383147651,0.1512902535988368,0.8230147407590221,0,0,0,0
23,0.7720628965735252,0.2012333676837018,1,1,0,0,1
24,0.8873393431729324,0.2771167548387922,1,1,0,0,1
25,0.7739230358999031,0.3334595758153309,1,1,0,0,1
26,1,0.2998396842797756,0.8139957660353047,1,1,0,0
27,1,0.3856684567448333,0.8882426617764891,1,1,0,0
28,0.8841350023289987,0.3891346571530437,1,1,0,0,1
29,0.8987749136944378,0.5003372566011066,1,1,0,0,1
30,0.6666703601867683,0.1760218148987407,1,1,0,0,1
31,0.6109959703964695,0.09375116222966673,1,1,0,0,1
32,0.4642569206858005,0.1806231619980003,1,1,0,0,1
33,0.5635465794149128,0.2005573940624758,1,1,0,0,1
34,0.5035107881895,0.09419809035797291,1,1,0,0,1
35,0.9161434214097511,1,0.9161434214097931,1,0,1,0
36,0.8251195008215892,1,0.910215463993084,1,0,1,0
37,0.9186610213809786,0.9186610213810243,1,1,0,0,1
38,0.8274390489440782,0.9096351154891862,1,1,0,0,1
39,0.6687434937004499,0.2748084479086473,1,1,0,0,1
40,1,0.3849001794601167,0.7777777777743839,1,1,0,0
41,1,0.2905358928757786,0.7189992943376714,1,1,0,0
42,1,0.4642569206862542,0.8193768380022219,1,1,0,0
43,1,0.3849001794596654,0.6666666666643674,1,1,0,0
44,1,0.5035107881895631,0.9058019096421092,1,1,0,0
45,1,0.8250171002158677,0.9103554564950742,1,1,0,0
46,0.8284889984683412,0.7498697987196344,1,1,0,0,1
47,0.8202275015198862,0.6645731145587547,1,1,0,0,1
48,0.8945611850266952,0.8246100707797129,1,1,0,0,1
49,0.9051035598250181,0.6119396083709898,1,1,0,0,1
50,0.9090624508969093,0.7181041015373026,1,1,0,0,1
51,0.8815444116907731,0.4401400674555916,0.8711299069203273,0,0,0,0
52,0.6916964658671205,0.5268372944163228,1,1,0,0,1
53,0.7999291245848601,0.5611081482491544,1,1,0,0,1
54,0.7754718875394303,0.4467064217234638,1,1,0,0,1
55,0.6765109776668947,0.393276696582712,1,1,0,0,1
56,1,0.6666703601868884,0.8239781851015497,1,1,0,0
57,1,0.5635465794151766,0.7994426059377895,1,1,0,0
58,1,0.6109959703965201,0.9062488377704417,1,1,0,0
59,1,0.718020589749464,0.902774001666043,1,1,0,0
60,1,0.4776477856957934,0.7240121981925853,1,1,0,0
61,0.8987306504790498,1,0.8361960152631789,1,0,1,0
62,1,0.898607769752681,0.836364006265673,1,1,0,0
63,1,0.7720628965741876,0.7987666323161463,1,1,0,0
64,1,0.6687434937010149,0.725191552091915,1,1,0,0
65,0.8810192067476514,0.7650424504709923,0.8963214881737043,0,0,0,0
66,0.8610483168203857,0.5696293870906393,0.8609242541047022,0,0,0,0
67,0.740142481652743,0.6222053076823442,1,1,0,0,1
68,0.6910195065158256,0.8059420829552146,1,1,0,0,1
69,0.7796969867522866,0.8200714965136587,1,1,0,0,1
70,0.7347774169584239,0.7194836277893832,1,1,0,0,1
71,0.7069142510751363,0.9024914447013195,1,1,0,0,1
72,0.6540818993334239,0.6390243533981057,1,1,0,0,1
73,0.7180205897508281,1,0.9027740016664469,1,0,1,0
74,0.6111111111124216,0.9346581186522516,1,1,0,0,1
75,1,0.8841350023291792,0.6108653428456039,1,1,0,0
76,1,0.7739230359005245,0.6665404241846543,1,1,0,0
77,1,0.8873393431732842,0.7228832451603268,1,1,0,0
78,0.7349501021411694,0.7738735186534296,0.8898800065925575,0,0,0,0
79,0.8194734197259159,0.856374900435434,0.8562045884814427,0,0,0,0
80,0.6666666666675921,1,0.8213672050449966,1,0,1,0
81,0.7728001809310259,1,0.7977586863004951,1,0,1,0
82,0.8873393431733807,1,0.7228832451605015,1,0,1,0
83,0.8841350023293537,0,0.610865342845583,1,0,-1,0
84,0.7754718875403179,0,0.5532935782766808,1,0,-1,0
