iv,x,y,z,boundary_flag,normal_x,normal_y,normal_z
36,0.04509813076815567,0,0.9147454886005659,1,0,-1,0
37,0,0.03852898987221968,0.9614710101278017,1,-1,0,0
38,0,0.03518679102425093,0.8676769447258545,1,-1,0,0
39,0,0.04856484604423419,0.914373791025939,1,-1,0,0
40,0,0.08098290182132739,0.9555949313460094,1,-1,0,0
41,0,0.1319729891031059,0.9546495213096133,1,-1,0,0
42,0,0.1056009079532968,0.9090364075108336,1,-1,0,0
43,0.9553418012604095,0.1838174028144074,1,1,0,0,1
44,0.13674085322945,0.07894736842146154,1,1,0,0,1
45,0.09093205464476024,0.1056589560561204,1,1,0,0,1
46,0.04538441511703163,0.1319182029355268,1,1,0,0,1
47,0.2835040757454727,0.04926526534360157,1,1,0,0,1
48,0.2327647707213744,0.0771264332865108,1,1,0,0,1
49,0.1829435182314336,0.1035320490836395,1,1,0,0,1
50,0.0910989979338649,0.158001484844826,1,1,0,0,1
51,0.1367416796413539,0.1315775895370651,1,1,0,0,1
52,0.2897063376356492,0,0.9556948783309211,1,0,-1,0
53,0.2632474761364164,0,0.9117336932974928,1,0,-1,0
54,0.3428281398870053,0,0.9552554113256289,1,0,-1,0
55,0.3246897826453747,0.09175035647975328,1,1,0,0,1
56,0.3710467185650345,0.08772705173433759,1,1,0,0,1
57,0.3946961054548717,0.04537542819544522,1,1,0,0,1
58,0.3423622194717296,0.04453605967718006,1,1,0,0,1
59,0.3162710541669259,0,0.9103476794561001,1,0,-1,0
60,0.7631656457208602,0,0.9544265114605196,1,0,-1,0
61,0.8421142962110693,0,0.9088460734114823,1,0,-1,0
62,0.8157894736836512,0,0.954419715590074,1,0,-1,0
63,0.8492272584162542,0.05161020641437218,0.9507449702495505,0,0,0,0
64,0.3949949442694183,0,0.9552331683400436,1,0,-1,0
65,0.4475067059689118,0,0.955251793713941,1,0,-1,0
66,0.4473144305321425,0.04554691773807593,1,1,0,0,1
67,0.4999999999987546,0.04558028440968166,1,1,0,0,1
68,0.6579014102339771,0,0.9544237463258345,1,0,-1,0
69,0.7105263157886821,0,0.9544197155901625,1,0,-1,0
70,0.9108339125731491,0.1573572002672003,1,1,0,0,1
71,0.865838019666118,0.1312408920810459,1,1,0,0,1
72,0.8200017245471529,0.1044141966505211,1,1,0,0,1
73,0.8204451193746515,0.1578947368482142,1,1,0,0,1
74,0.6589117243846543,0.04475216898290747,1,1,0,0,1
75,0.7186378821414999,0.05000957123651527,1,1,0,0,1
76,0.7727824087446944,0.05621125152538878,0.9470870176790546,0,0,0,0
77,0.6842521844638051,0,0.9089021398941914,1,0,-1,0
78,0.5003931235015374,0,0.9548771798200725,1,0,-1,0
79,0.5528936612815469,0,0.9546094446086986,1,0,-1,0
80,0.6052631578936629,0,0.9544197155902012,1,0,-1,0
81,0.5789473684198976,0.09116056881952625,1,1,0,0,1
82,0.5526315789462026,0.04558028440977465,1,1,0,0,1
83,0.6052631578936682,0.04558028440980599,1,1,0,0,1
84,0.6776645573918807,0.09211943101927261,1,1,0,0,1
85,0.6295693062754026,0.0883683984001116,1,1,0,0,1
86,0.7275944825146176,0.1057305265446078,1,1,0,0,1
87,0.5270564449258284,0.09086864392949237,1,1,0,0,1
88,0.208480021795551,0,0.9134353302788354,1,0,-1,0
89,0.1246084961213991,0,0.8699091803047395,1,0,-1,0
90,0.1177994928904905,0.111614570243168,0.9508756936881113,0,0,0,0
91,0.1367863543940144,0.1841321196037045,1,1,0,0,1
92,0.229074461802648,0.1295471829176673,1,1,0,0,1
93,0.1825546102874859,0.1574907916910371,1,1,0,0,1
94,0.07820749125050719,0.07972744636321409,0.9218046211507456,0,0,0,0
95,0.04618980733482699,0,0.8174324831074898,1,0,-1,0
96,0.04558028440958516,0.1842105263168835,1,1,0,0,1
97,0.05903926664709991,0.1339784659650571,0.9409529583621064,0,0,0,0
98,0,0.2368343542795667,0.9544265114603513,1,-1,0,0
99,0,0.1842105263166988,0.9544197155898215,1,-1,0,0
100,0.04558172283928551,0.2368396384026226,1,1,0,0,1
101,0.09116919939644416,0.210511514619656,1,1,0,0,1
102,0,0.07958464997350266,0.8639878724094154,1,-1,0,0
103,0,0.04717683498435302,0.8166923340070108,1,-1,0,0
104,0.2360876050462766,0,0.8686232889884631,1,0,-1,0
105,0.1792699763726568,0,0.8704889988770411,1,0,-1,0
106,0.1546575590332689,0,0.823853854513064,1,0,-1,0
107,0.1017942509742832,0,0.8211984319486315,1,0,-1,0
108,0.2090171195039137,0,0.8236474604505256,1,0,-1,0
109,0.1064863799463055,0.05733739413518223,0.8735526497329112,0,0,0,0
110,0.1436626624816326,0.06465206304578554,0.9336668173362698,0,0,0,0
111,0.2364587504199452,0.0574988645205452,0.9447396693160685,0,0,0,0
112,0.1949439286173939,0.1334975057456281,0.9494415654784503,0,0,0,0
113,0.2762808547712384,0.1039537421581996,1,1,0,0,1
114,0.2280967925551712,0.1838733568395224,1,1,0,0,1
115,0.2736691295048629,0.1575800414789423,1,1,0,0,1
116,0.4739239572253927,0,0.9102085831267127,1,0,-1,0
117,0.526760524838646,0,0.909605791561884,1,0,-1,0
118,0.4760431597033337,0.04987631659715012,0.9498673787705809,0,0,0,0
119,0.4206052458863407,0.09100902293827696,1,1,0,0,1
120,0.4445606643273514,0.1358802320916878,1,1,0,0,1
121,0.4738076531005755,0.09111191467097481,1,1,0,0,1
122,0.3554539762505921,0.1253461974106366,1,1,0,0,1
123,0.4138911821511571,0.1814092212667782,1,1,0,0,1
124,0.3937406557431724,0.1328321324968738,1,1,0,0,1
125,0.4209707757661272,0.05604446104995292,0.9439807564529225,0,0,0,0
126,0.3686719179705976,0,0.910283626318961,1,0,-1,0
127,0.4214892175814916,0,0.9106081786817312,1,0,-1,0
128,0.1823535632705445,0.2104715788084198,1,1,0,0,1
129,0.3626467912352255,0.05227400499262133,0.9367328570468302,0,0,0,0
130,0.3603564645864143,0.1657482765891388,1,1,0,0,1
131,0.317399954056396,0.137305573291797,1,1,0,0,1
132,0.2901522949016108,0.07162302554922105,0.9255016225023956,0,0,0,0
133,0.3422327324632343,0,0.8656330009615953,1,0,-1,0
134,0.2891702776258991,0,0.8672236309700969,1,0,-1,0
135,0.3949551021062256,0,0.865840401461305,1,0,-1,0
136,0.3684237728336813,0,0.8204084181462794,1,0,-1,0
137,0.5791876105606778,0,0.9089845376637131,1,0,-1,0
138,0.6316189877241545,0,0.9088636155942931,1,0,-1,0
139,0.6556553355976935,0.06379184068600198,0.9307895764720349,0,0,0,0
140,0.7895011512327283,0,0.9088612955723901,1,0,-1,0
141,0.7368886111705694,0,0.9088802064028104,1,0,-1,0
142,0.9528231650159363,0,0.8166923340073738,1,0,-1,0
143,0.8158103550878846,0.08082027849229466,0.9179486113515816,0,0,0,0
144,0.8955667559167548,0,0.8177180827987139,1,0,-1,0
145,0.8684210526308752,0,0.8632591467701982,1,0,-1,0
146,0.8158436720061366,0,0.8632990001584169,1,0,-1,0
147,0.7220278627682658,0.07880846633605042,0.9322749603066744,0,0,0,0
148,0.9105888867883373,0.2102353242277425,1,1,0,0,1
149,0.8656117147901781,0.1839576220211781,1,1,0,0,1
150,0.7748648349650705,0.1315536675822912,1,1,0,0,1
151,0.9553311774183841,0.2367056040485269,1,1,0,0,1
152,0.9637061809312726,0,0.7663377598781695,1,0,-1,0
153,1,0.03434540185925724,0.7631578947362172,1,1,0,0
154,0.8687142150540754,0.05494444722555061,0.8992215750292414,0,0,0,0
155,1,0.04676542214285744,0.8162737894219189,1,1,0,0
156,0.8792558824454557,0.1369120410417662,0.9368103236063811,0,0,0,0
157,0.9214378400356765,0.07851491080731308,0.9212154729972205,0,0,0,0
158,1,0.131903332053505,0.9549921744250144,1,1,0,0
159,1,0.1577654448568234,0.9091057525592372,1,1,0,0
160,1,0.1047578050614637,0.910517748940624,1,1,0,0
161,1,0.07852937189585943,0.8645275716584309,1,1,0,0
162,1,0.1313471767318131,0.8631902414931323,1,1,0,0
163,1,0.184210526315236,0.9544197155907554,1,1,0,0
164,0.9511876348519241,0.04900325063561847,0.8863316586705826,0,0,0,0
165,0.9405103771160317,0.1332473323107789,0.940789431327977,0,0,0,0
166,0.7748648349648177,0.184210526321669,1,1,0,0,1
167,0.820445119374374,0.2105263157955698,1,1,0,0,1
168,0.7748648349645629,0.2368421052690104,1,1,0,0,1
169,0.598193512957929,0.04905524841392477,0.9282769783099409,0,0,0,0
170,0.7208109191810799,0.1320577039065746,0.9517151168682689,0,0,0,0
171,0.7292845505552501,0.1578905235491002,1,1,0,0,1
172,0.5009384440775329,0.1387873887461197,1,1,0,0,1
173,0.5570755116665888,0.134989303889649,1,1,0,0,1
174,0,0.1578857037893752,0.9088460734110161,1,-1,0,0
175,0,0.1315789473696942,0.8632591467696564,1,-1,0,0
176,0,0.1045915667682386,0.8174774494200596,1,-1,0,0
177,0.05180035405467519,0.05004750754260656,0.8824930568217545,0,0,0,0
178,0.8204451193738163,0.3157894736902235,1,1,0,0,1
179,0.8658734940421958,0.2892771224648614,1,1,0,0,1
180,1,0.2368421052625114,0.9544197155907114,1,1,0,0
181,1,0.2894736842096952,0.9544197155906342,1,1,0,0
182,0.9552430336034613,0.2893235328735194,1,1,0,0,1
183,0.9105098384376179,0.3155913519207618,1,1,0,0,1
184,0.9106198594701742,0.2627320109456666,1,1,0,0,1
185,0.9489854661280883,0,0.7208755746164369,1,0,-1,0
186,0.9201581294589227,0,0.7710752308549991,1,0,-1,0
187,0.8684722933723946,0,0.7721309411077968,1,0,-1,0
188,0.8421606088888753,0,0.8177191713731659,1,0,-1,0
189,0.55265818341575,0,0.8639955797646158,1,0,-1,0
190,0.6052631578935742,0,0.8632591467707258,1,0,-1,0
191,0.4999832354056254,0,0.865150691917667,1,0,-1,0
192,0.4474109360561432,0,0.8657578630649799,1,0,-1,0
193,0.547918610332079,0.07278433205467166,0.9352915876722411,0,0,0,0
194,0.7897515602777613,0,0.8178808630487034,1,0,-1,0
195,0.7632052086040848,0,0.8632962664110378,1,0,-1,0
196,0.8160415724015434,0,0.7722524478810701,1,0,-1,0
197,0,0.289473684211782,0.9544197155900822,1,-1,0,0
198,0,0.2104988487677791,0.9088612955720557,1,-1,0,0
199,0,0.1841563279944834,0.8632990001579344,1,-1,0,0
200,0.04766624164027413,0.2105227101186256,0.9523337583596464,0,0,0,0
201,0.1367471355264692,0.2368317049514439,1,1,0,0,1
202,0.09116363927228266,0.2631527460503081,1,1,0,0,1
203,0.04558028440981499,0.289473684212029,1,1,0,0,1
204,0.3183596164393472,0.185935783196142,1,1,0,0,1
205,0.2022118734566056,0.09145222931319845,0.9111701663931993,0,0,0,0
206,0.2624910062582639,0,0.8214782921330254,1,0,-1,0
207,0.3156783256022392,0,0.8206173148330596,1,0,-1,0
208,0.1293112360267913,0.05204798062240985,0.8065464914681472,0,0,0,0
209,0.1631316936775112,0.06810233806976575,0.8560973598547856,0,0,0,0
210,0.2372260511631928,0.06243330258453184,0.8683778443565537,0,0,0,0
211,0.07880088421422228,0.07965195035418822,0.8249230637057974,0,0,0,0
212,0.03595571814350099,0,0.7631578947362172,1,0,-1,0
213,0,0.03629381906897666,0.7663377598777189,1,-1,0,0
214,0.07910134457858418,0,0.7717735782724873,1,0,-1,0
215,0.131603824587531,0,0.7759405289247404,1,0,-1,0
216,0.05004304124442147,0,0.7186378821408634,1,0,-1,0
217,0,0.05101453387241214,0.7208755746159632,1,-1,0,0
218,0,0.0798418705416761,0.7710752308544386,1,-1,0,0
219,0.1840056855842997,0,0.7751983231876181,1,0,-1,0
220,0.1059220610532524,0,0.7276085452956769,1,0,-1,0
221,0.4210894616109541,0,0.8204081687818383,1,0,-1,0
222,0.05302116231872284,0.05133258780227945,0.782224081537877,0,0,0,0
223,0.1578947368397168,0,0.7292845505533664,1,0,-1,0
224,0.08550896847660677,0,0.6845091524774667,1,0,-1,0
225,0.04558028440982316,0,0.6578947368412116,1,0,-1,0
226,0.1325135126041291,0,0.683788642838832,1,0,-1,0
227,0.2894736842080185,0,0.7748648349633199,1,0,-1,0
228,1,0.1038725340813587,0.8172654306886282,1,1,0,0
229,0.93181699440847,0.05230371512883535,0.8206340217202387,0,0,0,0
230,1,0.07798943654038133,0.7694862637679842,1,1,0,0
231,1,0.0494880215597454,0.7177001798474243,1,1,0,0
232,0.8938418742775888,0,0.7270931942356126,1,0,-1,0
233,0.8204451193740964,0.2631578947429061,1,1,0,0,1
234,0.7915569872180865,0.1372188885349003,0.937900278474957,0,0,0,0
235,0.9521836180868724,0.2105263157888718,0.9521588415396287,0,0,0,0
236,0.8825872366234716,0.2270340986061992,0.9429611748332594,0,0,0,0
237,0.8657948552177293,0.2368421052694758,1,1,0,0,1
238,1,0.3421052631569342,0.9544197155905613,1,1,0,0
239,0.8655426212624088,0.3416793793670499,1,1,0,0,1
240,0.9549973262945919,0.3419648619065173,1,1,0,0,1
241,0.8092534385704543,0.06461201464067379,0.854828101486087,0,0,0,0
242,0.8801086826303908,0.06526055986478949,0.8393648890104479,0,0,0,0
243,1,0.2104983290512909,0.9088819040420744,1,1,0,0
244,0.9361898027727241,0.09366201038139096,0.8588811743293682,0,0,0,0
245,0.9164435056969136,0.09915038812782313,0.7891426976513605,0,0,0,0
246,0.918027343318878,0.185290789531207,0.9177996242198198,0,0,0,0
247,1,0.1841718978753962,0.8632476625586971,1,1,0,0
248,1,0.1311847899249736,0.7719449326523488,1,1,0,0
249,1,0.1578947368406881,0.8176788623623672,1,1,0,0
250,0.873217009980821,0.1267798835377657,0.8730450699136363,0,0,0,0
251,0.9073980194989131,0,0.6775508243295089,1,0,-1,0
252,0.9543353388950075,0,0.6605600664663807,1,0,-1,0
253,0.9460553296670963,0.05511979889896574,0.7660280311774726,0,0,0,0
254,0.05316117544146598,0.1057246608923098,0.8738166747330059,0,0,0,0
255,0.08183680358081621,0.1853443424680489,0.9181698106190607,0,0,0,0
256,0,0.131527706628378,0.7721309411072107,1,-1,0,0
257,0,0.1578393911118275,0.8177191713726262,1,-1,0,0
258,0.04722981946194055,0,0.6078494987754992,1,0,-1,0
259,0.06668815847228639,0.1603373494888124,0.8528287955020015,0,0,0,0
260,1,0.08464488298796695,0.6841009960834362,1,1,0,0
261,1,0.04501365414772438,0.6592532860054792,1,1,0,0
262,1,0.04478845151904066,0.6063501190521521,1,1,0,0
263,0.9300925639986262,0.2616563125215623,0.9296888419952449,0,0,0,0
264,1,0.3947368421042386,0.9544197155904773,1,1,0,0
265,1,0.3157894736831611,0.9088394311811063,1,1,0,0
266,1,0.2631578947358251,0.9088394311812846,1,1,0,0
267,1,0.2368421052619537,0.8632591467717604,1,1,0,0
268,0.6470857938073118,0.1247156315172742,1,1,0,0,1
269,0.6419916366560005,0.1645937116749941,1,1,0,0,1
270,0.6844362806151718,0.1858884540299331,1,1,0,0,1
271,0.7292973057649086,0.2105655484517938,1,1,0,0,1
272,0.6067611468543375,0.1322198960350887,1,1,0,0,1
273,0.6854370587459191,0.1372622812703551,1,1,0,0,1
274,0.5388386647150983,0.1727917320293095,1,1,0,0,1
275,0.4658727813384228,0.1720004192155092,1,1,0,0,1
276,0.7748648349642879,0.289473684216333,1,1,0,0,1
277,0.6385831692915994,0.2119639712268665,1,1,0,0,1
278,0.5017625864171948,0.1914721950249969,1,1,0,0,1
279,0.5014077738609984,0.2378143952362408,1,1,0,0,1
280,0.5923847645280975,0.2371173849488776,1,1,0,0,1
281,0.3641683615747491,0.2121486920576263,1,1,0,0,1
282,0.364732470215879,0.2633011196546517,1,1,0,0,1
283,0.9101445166977671,0.368274389085525,1,1,0,0,1
284,0.9548892953150629,0.3946726138888326,1,1,0,0,1
285,0.1367429246419251,0.2894704604299111,1,1,0,0,1
286,0.09116056881975695,0.3157894736861864,1,1,0,0,1
287,0.04558028440986239,0.3421052631595546,1,1,0,0,1
288,0.0455802844097105,0.4473684210546299,1,1,0,0,1
289,0,0.3420985897665743,0.9544237463257744,1,-1,0,0
290,0,0.3947368421069693,0.9544197155901593,1,-1,0,0
291,0.09116056881957313,0.3684210526337329,1,1,0,0,1
292,0.04558028440985042,0.3947368421071361,1,1,0,0,1
293,0.2734817064584078,0.2105263157928198,1,1,0,0,1
294,0.3190239043694428,0.2370915698142634,1,1,0,0,1
295,0.1452968807886478,0.1579506443655205,0.9345236925089443,0,0,0,0
296,0.311739176838242,0.1380586530161177,0.9367396828604159,0,0,0,0
297,0.2488199042683363,0.1465532628253454,0.9348726006853613,0,0,0,0
298,0.2279014220483419,0.2894736842136134,1,1,0,0,1
299,0.1823264057916582,0.2631502298387934,1,1,0,0,1
300,0.2279006053330626,0.2368508528438076,1,1,0,0,1
301,0.273476806165056,0.2632103802053555,1,1,0,0,1
302,0.1774413921929633,0.1381540409168922,0.8935267141485171,0,0,0,0
303,0.1266972759476566,0.1271108118501736,0.8733027403927854,0,0,0,0
304,0.1758253030127894,0.1996515540212399,0.948084991240429,0,0,0,0
305,0.1182768630095171,0.2280245424012269,0.9423993743390805,0,0,0,0
306,0.14545465337861,0.2004317263603771,0.8946653309950122,0,0,0,0
307,0.1739079979959485,0.2495174563093939,0.9289911444997855,0,0,0,0
308,0.3588859533233739,0.05994202123580952,0.8644331486626585,0,0,0,0
309,0.2978670385963232,0.06616359719091469,0.8539546297521505,0,0,0,0
310,0.3747402477003614,0.1511995108389462,0.9439599331633104,0,0,0,0
311,0.4236180476940374,0.1182283152479044,0.934854450108625,0,0,0,0
312,0.4177493664910414,0.06875665979773417,0.8825774606547176,0,0,0,0
313,0.358802302784657,0.104692956611263,0.9101639094576255,0,0,0,0
314,0.4106864193704353,0.2375786905393817,1,1,0,0,1
315,0.4578529281175547,0.2136761058772305,1,1,0,0,1
316,0.5887571171578977,0.1810627326929082,1,1,0,0,1
317,0.5456649263935622,0.213763129045572,1,1,0,0,1
318,0.3313984562391719,0.1068319573604362,0.864066463355437,0,0,0,0
319,0.4986867370196499,0.1399666445627466,0.9396599741447649,0,0,0,0
320,0.7636404543057128,0,0.7728967811384128,1,0,-1,0
321,0.7449101545386394,0.05829661815562626,0.8775701718819655,0,0,0,0
322,0.6316466132175951,0,0.8188609478294004,1,0,-1,0
323,0.6843807906017201,0,0.8186707403486022,1,0,-1,0
324,0.7372826772932086,0,0.8181728369676573,1,0,-1,0
325,0.7107636930889677,0,0.8634410893919098,1,0,-1,0
326,0.6580979719851615,0,0.8636071839040811,1,0,-1,0
327,0.7052622591065711,0.05180038546072402,0.8224718446041307,0,0,0,0
328,0.4738070581553316,0.0479327754869601,0.8749763096956159,0,0,0,0
329,0.4833926631930804,0.08908225526459151,0.9109502235239869,0,0,0,0
330,0.5788488229257949,0,0.8191232004269768,1,0,-1,0
331,0.6307734808597615,0.05071917935835021,0.8789342101754709,0,0,0,0
332,0.6270639311582057,0.1292225390458187,0.9455750288279319,0,0,0,0
333,0.6844507331378058,0.07318833884582637,0.8698342758255975,0,0,0,0
334,0.835155335856213,0.1820664331923263,0.9219321908312788,0,0,0,0
335,0.7862803659373394,0.2627039048443016,0.9554527844355031,0,0,0,0
